# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-04-25 23:10:37.091
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002693,-0.1228,-0.2606,0.5289,0.60
0.013661,-0.1605,-0.5234,0.2592,0.61
0.024589,-0.5922,-0.0997,-0.2331,0.64
0.033247,-0.4455,0.0659,-0.6321,0.78
0.043551,-0.1420,0.3332,-0.8763,0.95
0.060172,0.4106,0.6160,-0.9169,1.18
0.063050,0.5204,1.1781,-0.4556,1.37
0.077041,1.4408,0.2632,-0.4857,1.54
0.082911,1.7538,-0.1134,-0.2875,1.78
0.093802,1.3771,-0.1448,-0.3044,1.42
0.103184,0.8969,0.0624,-0.1950,0.92
0.113930,0.5072,-0.0804,-0.7242,0.89
0.127048,0.2334,-0.0116,-0.7455,0.78
0.137854,-0.3503,-0.0639,-0.6417,0.73
0.146008,-0.5470,-0.1451,-0.5128,0.76
0.152834,-0.2869,-0.1614,-0.5494,0.64
0.162794,0.0982,-0.0824,-0.7031,0.71
0.175111,0.5907,0.0839,-0.7603,0.97
0.182691,0.8363,0.2434,-0.7606,1.16
0.193314,0.9355,0.3708,-0.6068,1.18
0.202885,0.9440,0.3320,-0.4611,1.10
0.213379,1.2826,0.2985,0.0007,1.32
0.225215,1.1772,-0.2479,-0.0451,1.20
0.232915,1.2853,-0.5170,-0.0139,1.39
0.242878,1.0694,-0.4590,0.0510,1.16
0.252852,0.5364,-0.4567,-0.0356,0.71
0.262638,0.0655,-0.3659,0.2366,0.44
0.275340,-0.4525,-0.4543,0.7700,1.00
0.283192,-0.9701,-0.8302,1.4691,1.95
0.293377,-0.8602,-0.6909,2.1464,2.41
0.303464,-0.7396,-0.9907,1.2202,1.74
0.317828,-0.3281,-1.1737,0.6228,1.37
0.335688,-0.0199,-1.0480,0.1034,1.05
0.335807,-0.4313,-0.6780,0.0900,0.81
0.343908,-0.5837,-0.2453,0.7362,0.97
0.353254,-0.6740,-0.1589,1.4279,1.59
0.362923,-0.5553,-0.3565,1.3992,1.55
0.376844,-0.2560,-0.7517,0.7592,1.10
0.382980,0.0615,-1.0752,0.1250,1.08
0.393727,0.2854,-1.2247,-0.7520,1.47
0.402683,0.3923,-1.2003,-1.6138,2.05
0.414028,0.3237,-0.9986,-2.1258,2.37
0.427500,-0.0381,-0.5945,-2.3091,2.38
0.433206,-0.4795,-0.2132,-2.4943,2.55
0.444016,-1.0510,0.1274,-1.9863,2.25
0.453115,-1.7704,0.4507,-1.2987,2.24
0.463456,-2.3586,0.6999,-0.8665,2.61
0.477697,-2.6188,0.8451,-0.6364,2.82
0.482878,-1.7961,0.6746,-0.9855,2.16
0.494314,-0.8635,0.1922,-1.7446,1.96
0.502957,-0.6150,-0.0260,-1.8420,1.94
0.513036,-0.6310,0.1475,-1.2137,1.38
0.528329,-0.5691,0.5919,-0.0759,0.82
0.533402,-1.1060,1.0055,1.6089,2.20
0.545459,-1.4195,0.8908,2.2130,2.78
0.553382,-1.7614,0.3538,1.8344,2.57
0.564630,-1.7940,-0.8559,0.2745,2.01
0.579231,-1.3847,-1.9947,-0.3942,2.46
0.582670,-1.9320,-1.2597,1.0680,2.54
0.596194,-2.7491,0.3084,2.6173,3.81
0.603428,-1.4726,-0.0497,2.9414,3.29
0.614259,0.3511,-1.4298,2.8045,3.17
0.630610,0.9602,-1.9426,2.6903,3.45
0.633610,-0.7032,-0.6904,-0.5152,1.11
0.646743,-2.4718,0.2830,-1.0405,2.70
